secID,ticker,exchangeCD,ListSectorCD,ListSector,transCurrCD,secShortName,secFullName,listStatusCD,listDate,delistDate,equTypeCD,equType,exCountryCD,partyID,totalShares,nonrestFloatShares,nonrestfloatA,officeAddr,primeOperating
"000001.XSHE","000001","XSHE",1,"主板","CNY","平安银行","平安银行股份有限公司","L","1991-04-03",,"A","沪深A股","CHN",2,13709873744,11804054580,11804054580,"广东省深圳市罗湖区深南东路5047号","办理人民币存、贷、结算、汇兑业务；人民币票据承兑和贴现；各项信托业务；经监管机构批准发行或买卖人民币有价证券；外汇存款、汇款；境内境外借款；在境内境外发行或代理发行外币有价证券；贸易、非贸易结算；外币票据的承兑和贴现；外汇放款；代客买卖外汇及外币有价证券，自营外汇买卖；资信调查、咨询、见证业务；保险兼业代理业务；黄金进口业务；经有关监管机构批准或允许的其他业务。(《保险兼业代理业务许可证》有效期限至2015年5月1日)。"
"000002.XSHE","000002","XSHE",1,"主板","CNY","万科A","万科企业股份有限公司","L","1991-01-29",,"A","沪深A股","CHN",3,11045647571,11017489010,9702533542,"广东省深圳市盐田区大梅沙环梅路33号万科中心","房地产开发；兴办实业（具体项目另行申报）；国内商业、物资供销业（不含专营、专控、专卖商品）；进出口业务（按深经发审证字第113 号外贸企业审定证书规定办理）。"
"000004.XSHE","000004","XSHE",1,"主板","CNY","国农科技","深圳中国农大科技股份有限公司","L","1991-01-14",,"A","沪深A股","CHN",5,83976684,83875459,83875459,"广东省深圳市福田区商报路奥林匹克大厦6层D-E","通讯、计算机、软件、新材料、生物技术和生物特征识别技术、新药、生物制品、医用检测试剂和设备的研究与开发；信息咨询；计算机软件及生物技术的培训；兴办实业。"
"000005.XSHE","000005","XSHE",1,"主板","CNY","世纪星源","深圳世纪星源股份有限公司","L","1990-12-10",,"A","沪深A股","CHN",6,914333607,913743007,913743007,"广东省深圳市人民南路发展中心大厦13楼","纺织、印染、服装、轻工产品、电子产品、房地产、酒店、交通、商务咨询顾问、计算机软件开发、投资及其它第三产业。"
"000006.XSHE","000006","XSHE",1,"主板","CNY","深振业A","深圳市振业(集团)股份有限公司","L","1992-04-27",,"A","沪深A股","CHN",7,1349995046,1338897143,1338897143,"广东省深圳市罗湖区宝安南路振业大厦B座11-17楼","土地开发、房产销售及租赁、物业管理，国内商业、物资供销业（不含专营、专卖、专控商品）、建筑材料，兴办各类实业（具体项目另报）。"
"000007.XSHE","000007","XSHE",1,"主板","CNY","零七股份","深圳市零七股份有限公司","L","1992-04-13",,"A","沪深A股","CHN",8,230965363,205813141,205813141,"广东省深圳市福田区华强北路1058号现代之窗大厦A座25层","投资兴办实业（具体项目另报）；国内商业、物资供销业（不含专营、专卖和专控商品）；自有物业租赁；环保产品的技术开发；信息咨询（不含限制项目）；项目投资（不含限制项目）开展矿产资源的投资、贸易等业务，包括但不限于：钛铁矿勘查、锆矿、独居石、金红石等多金属矿产资源的勘查、开发（包括开采、选矿加工、冶炼等）；有色金属矿产品的收购、加工和销售。"
"000008.XSHE","000008","XSHE",1,"主板","CNY","神州高铁","神州高铁技术股份有限公司","L","1992-05-07",,"A","沪深A股","CHN",9,803144309,213594042,213594042,"广东省深圳市南山区内环路5号锦兴工业小区管理楼二楼","酒水饮料批发贸易及房屋租赁。"
"000009.XSHE","000009","XSHE",1,"主板","CNY","中国宝安","中国宝安集团股份有限公司","L","1991-06-25",,"A","沪深A股","CHN",10,1592107386,1489669062,1489669062,"广东省深圳市笋岗东路1002号宝安广场A座28-29层","高新技术产业、生物医药业和房地产业。"
"000010.XSHE","000010","XSHE",1,"主板","CNY","深华新","北京深华新股份有限公司","L","1995-10-27",,"A","沪深A股","CHN",11,588069788,358157448,358157448,"北京市西城区车公庄大街甲4号物华大厦19层B1904","高新技术项目的开发及相关产品的技术服务，计算机网络系统工程、计算机软、硬件的技术开发、生产（具体项目另行申报）、安装及系统集成，电子技术产品的技术开发、生产，信息咨询服务（以上不含限制项目）；相关产品的销售及其他国内商业、物资供销业（不含专营、专控、专卖商品）；投资兴办实业、高科技项目（具体项目另行申报）。经营深贸管审证字第207号《审定书》规定的进出口项目。房地产开发经营。"
"000011.XSHE","000011","XSHE",1,"主板","CNY","深物业A","深圳市物业发展(集团)股份有限公司","L","1992-03-30",,"A","沪深A股","CHN",12,595979092,243467869,175862626,"广东省深圳市人民南路国贸大厦39层、42层","以房地产开发为主业的房地产专业公司。"
"000012.XSHE","000012","XSHE",1,"主板","CNY","南玻A","中国南玻集团股份有限公司","L","1992-02-28",,"A","沪深A股","CHN",13,2075335560,2065352563,1302768571,"广东省深圳市蛇口工业六路一号南玻大厦","进行平板玻璃、工程玻璃等节能建筑材料，硅材料、光伏组件等可再生能源产品及精细玻璃、结构陶瓷等新型材料和高科技产品的生产、制造和销售（涉及生产许可证、环保批文的项目由各子公司另行申报），为各子公司提供经营决策、管理咨询、市场信息、技术支持与岗位培训等方面的相关协调和服务。"
"000014.XSHE","000014","XSHE",1,"主板","CNY","沙河股份","沙河实业股份有限公司","L","1992-06-02",,"A","沪深A股","CHN",15,201705187,201705187,201705187,"广东省深圳市南山区白石路2222号沙河世纪楼","在合法取得土地使用权范围内从事房地产开发经营业务；国内商业，物资供销业（不含专营、专控、专卖商品）；兴办实业。"
